ID,COUNTRY,SOURCE,StartDate,EndDate,Duration,RecDate,CITY,DES_DISP1,DES_DISP2,DES_DISP3,DES_DISP4,DES_DISP5,CANT_DES,R_DES1,R_DES2,R_DES3,R_DES4,R_DES5,CHOICE_DES,MEJ_DES,SEG_DES,TER_DES,CUAR_DES,SAF_DISP1,SAF_DISP2,SAF_DISP3,SAF_DISP4,CANT_SAF,R_SAF1,R_SAF2,R_SAF3,R_SAF4,CHOICEAF,MEJ_SAF,SEG_SAF,TER_SAF,SEC_DISP1,SEC_DISP2,SEC_DISP3,SEC_DISP4,SEC_DISP5,CANT_SEC,R_SEC1,R_SEC2,R_SEC3,R_SEC4,R_SEC5,CHOICE_SEC,MEJ_SEC,SEG_SEC,TER_SEC,CUAR_SEC,DEST_DISP1,DEST_DISP2,DEST_DISP3,DEST_DISP4,DEST_DISP5,CANT_DEST,R_DEST1,R_DEST2,R_DEST3,R_DEST4,R_DEST5,CHOICE_DEST,MEJ_DEST,SEG_DEST,TER_DEST,CUAR_DEST,ATR_DISP1,ATR_DISP2,ATR_DISP3,ATR_DISP4,ATR_DISP5,ATR_DISP6,ATR_DISP7,ATR_DISP8,CANT_ATR,R_ATR1,R_ATR2,R_ATR3,R_ATR4,R_ATR5,R_ATR6,R_ATR7,R_ATR8,CHOICE_ATR,MEJ_ATR,SEG_ATR,TER_ATR,CUAR_ATR,QUIN_ATR,SEXTO_ATR,SEPT_ATR,R_DESIGN,R_SAFETY,R_SECURITY,R_DESTIN,R_ATRACT,AGE,GENDER,DISABILITY,SES,INC,NRES,NEIGH,NEIGH2,OCCUP,EDUCATION,NWT_WD,DWT_WD,NEIGH_WD,NEIGH2_WD,NWT_WE,DWT_WE,NEIGH_WE,NEIGH2_WE,WEXP_BASE,WEXP_S1A,WEXP_S1B,WEXP_S2A,WEXP_S2B,WEXP_S3A,WEXP_S3B,WEXP_S4A,WEXP_S4B,WEXP_S5A,WEXP_S5B,VR,CS
3015,CHL,JAC,02-10-2024 13:09,02-10-2024 13:14,310,02-10-2024 13:14,CONCE,1,0,1,1,1,3,3,999999,1,2,4,3,3,4,1,9999,1,0,0,1,1,1,999999,999999,2,1,1,9999,9999,0,0,1,0,0,0,999999,999999,1,999999,999999,999999,999999,9999,9999,9999,1,1,1,0,1,3,4,1,2,999999,3,2,2,3,5,9999,1,0,0,0,0,0,0,0,0,1,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,1,3,5,2,4,24,Masculino,No presento ninguna dificultad o limitación.,999999,0 - 400.000,999999,Concepción	,Concepción centro,Estudiante,Pregrado universitario,4,Entre 10 a 15 min por viaje.,Concepción	,Concepción centro,4,Entre 10 a 15 min por viaje.,Concepción	,Concepción centro,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"No, gracias.",1
3016,CHL,JAC,03-10-2024 14:23,03-10-2024 14:31,474,03-10-2024 14:31,CONCE,0,0,1,1,0,1,999999,999999,1,2,999999,3,3,9999,9999,9999,1,0,0,1,1,1,999999,999999,2,1,1,9999,9999,1,0,0,0,1,1,1,999999,999999,999999,2,1,1,9999,9999,9999,0,0,0,1,1,1,999999,999999,999999,1,2,4,4,9999,9999,9999,1,0,0,1,0,0,0,0,1,1,999999,999999,2,999999,999999,999999,999999,1,1,999999,999999,999999,999999,999999,999999,2,1,3,4,5,58,Femenino,No presento ninguna dificultad o limitación.,999999,400.000 - 800.000,999999,Penco,999999,Comerciante,Educación técnica o tecnológica,3,Entre 15 a 20 min por viaje.,Concepción	,Concepción centro,3,Entre 15 a 20 min por viaje.,Concepción	,Concepción centro,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"No, gracias.",1
3017,CHL,JAC,03-10-2024 14:34,03-10-2024 14:40,402,03-10-2024 14:40,CONCE,0,0,1,1,0,1,999999,999999,2,1,999999,4,4,9999,9999,9999,0,1,0,1,1,999999,2,999999,1,4,4,9999,9999,0,0,1,0,1,1,999999,999999,2,999999,1,5,5,9999,9999,9999,0,0,0,1,1,1,999999,999999,999999,2,1,5,5,9999,9999,9999,1,0,0,1,0,0,0,0,1,1,999999,999999,2,999999,999999,999999,999999,1,1,999999,999999,999999,999999,999999,999999,2,1,3,4,5,48,Femenino,Dificultad para caminar o moverme libremente.,999999,400.000 - 800.000,999999,Concepción	,Concepción centro,Empleado,Escuela secundaria,5 o más,Más de 60 min por viaje.,Concepción	,Concepción centro,5 o más,Más de 60 min por viaje.,Concepción	,Concepción centro,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"No, gracias.",1
3018,CHL,JAC,03-10-2024 14:49,03-10-2024 15:04,849,03-10-2024 15:04,CONCE,0,0,1,1,1,2,999999,999999,1,2,3,3,3,4,9999,9999,1,0,0,1,1,2,999999,999999,1,4,4,9999,9999,0,0,1,0,1,1,999999,999999,2,999999,1,5,5,9999,9999,9999,0,0,0,1,1,1,999999,999999,999999,2,1,5,5,9999,9999,9999,1,0,0,1,0,0,1,0,2,2,999999,999999,3,999999,999999,1,999999,7,7,1,999999,999999,999999,999999,999999,3,1,2,4,5,80,Femenino,No presento ninguna dificultad o limitación.,999999,0 - 400.000,999999,Concepción	,Concepción centro,Pensionado,Escuela secundaria,5 o más,Entre 5 a 10 min por viaje.,Concepción	,Concepción centro,5 o más,Entre 5 a 10 min por viaje.,Concepción	,Concepción centro,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"No, gracias.",1
3020,CHL,JAC,03-10-2024 15:09,03-10-2024 16:07,3485,03-10-2024 16:07,CONCE,1,1,1,1,1,4,4,5,1,2,3,3,3,4,5,1,1,1,1,1,3,3,2,4,1,4,4,2,1,1,0,1,0,1,2,3,999999,1,999999,2,3,3,5,9999,9999,1,1,1,1,1,4,3,4,5,2,1,5,5,4,1,2,1,1,1,1,1,1,1,1,7,3,2,6,4,7,5,1,8,7,7,2,1,4,6,3,5,3,1,2,4,5,82,Masculino,Dificultad para ver.,999999,400.000 - 800.000,999999,Concepción	,Concepción centro,Pensionado,Pregrado universitario,2,Entre 5 a 10 min por viaje.,Concepción	,Concepción centro,2,Entre 5 a 10 min por viaje.,Concepción	,Concepción centro,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"No, gracias.",1
3021,CHL,JAC,03-10-2024 16:35,03-10-2024 16:42,448,03-10-2024 16:42,CONCE,1,1,1,1,0,3,4,3,1,2,999999,3,3,4,2,9999,1,1,0,1,2,1,2,999999,3,1,1,2,9999,0,1,1,0,0,1,999999,2,1,999999,999999,3,3,9999,9999,9999,1,0,0,0,1,1,1,999999,999999,999999,2,1,1,9999,9999,9999,1,0,1,0,0,0,0,0,1,1,999999,2,999999,999999,999999,999999,999999,1,1,999999,999999,999999,999999,999999,999999,4,2,5,3,1,50,Masculino,No presento ninguna dificultad o limitación.,999999,800.000 - 1.200.000,999999,Concepción	,Concepción centro,Empleado,Educación técnica o tecnológica,2,Entre 15 a 20 min por viaje.,Concepción	,Concepción centro,2,Entre 15 a 20 min por viaje.,Concepción	,Concepción centro,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"No, gracias.",1
3022,CHL,JAC,03-10-2024 16:56,03-10-2024 17:06,636,03-10-2024 17:06,CONCE,0,0,1,1,1,2,999999,999999,1,2,3,3,3,4,9999,9999,1,0,0,1,1,2,999999,999999,1,4,4,9999,9999,0,0,1,0,1,1,999999,999999,1,999999,2,3,3,9999,9999,9999,1,0,0,0,1,1,2,999999,999999,999999,1,5,5,9999,9999,9999,1,0,0,1,0,0,0,0,1,2,999999,999999,1,999999,999999,999999,999999,4,4,999999,999999,999999,999999,999999,999999,2,1,5,4,3,71,Femenino,No presento ninguna dificultad o limitación.,999999,400.000 - 800.000,999999,Concepción	,Concepción centro,Pensionado,Pregrado universitario,3,Entre 20 a 30 min por viaje.,Concepción	,Concepción centro,3,Entre 15 a 20 min por viaje.,Concepción	,Concepción centro,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"No, gracias.",1
3023,CHL,JAC,03-10-2024 17:07,03-10-2024 17:22,901,03-10-2024 17:22,CONCE,0,0,0,1,0,0,999999,999999,999999,1,999999,999999,999999,9999,9999,9999,0,0,0,1,0,999999,999999,999999,1,999999,999999,9999,9999,0,0,1,0,1,1,999999,999999,2,999999,1,5,5,9999,9999,9999,0,0,0,0,1,0,999999,999999,999999,999999,1,999999,999999,9999,9999,9999,1,0,0,0,0,0,0,0,0,1,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,3,2,4,5,1,44,Femenino,No presento ninguna dificultad o limitación.,999999,0 - 400.000,999999,Concepción	,Concepción centro,Independiente,Pregrado universitario,2,Entre 45 a 60 min por viaje.,Concepción	,Concepción centro,2,Entre 45 a 60 min por viaje.,Concepción	,Concepción centro,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"No, gracias.",1
3024,CHL,JAC,03-10-2024 17:27,03-10-2024 17:45,1075,03-10-2024 17:45,CONCE,0,0,1,1,1,2,999999,999999,1,2,3,3,3,4,9999,9999,1,0,0,1,1,1,999999,999999,2,1,1,9999,9999,1,0,1,1,1,3,1,999999,2,4,3,1,1,3,5,9999,0,0,0,0,1,0,999999,999999,999999,999999,1,999999,999999,9999,9999,9999,1,0,0,1,0,0,0,0,1,2,999999,999999,1,999999,999999,999999,999999,4,4,999999,999999,999999,999999,999999,999999,2,1,3,4,5,75,Femenino,No presento ninguna dificultad o limitación.,999999,0 - 400.000,999999,Concepción	,Concepción centro,Pensionado,Escuela secundaria,5 o más,Más de 60 min por viaje.,Concepción	,Concepción centro,5 o más,Más de 60 min por viaje.,Concepción	,Concepción centro,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"No, gracias.",1
3026,CHL,JAC,07-10-2024 14:03,07-10-2024 14:16,771,07-10-2024 14:16,CONCE,0,0,1,1,0,1,999999,999999,1,2,999999,3,3,9999,9999,9999,1,0,0,1,1,2,999999,999999,1,4,4,9999,9999,0,0,1,0,1,1,999999,999999,1,999999,2,3,3,9999,9999,9999,1,1,0,0,0,1,2,1,999999,999999,999999,2,2,9999,9999,9999,1,0,0,1,0,0,1,0,2,1,999999,999999,3,999999,999999,2,999999,1,1,7,999999,999999,999999,999999,999999,2,1,3,4,5,63,Femenino,No presento ninguna dificultad o limitación.,999999,0 - 400.000,999999,Concepción	,Concepción centro,Actividades del hogar,Escuela secundaria,5 o más,Entre 20 a 30 min por viaje.,Concepción	,Concepción centro,5 o más,Entre 20 a 30 min por viaje.,Concepción	,Concepción centro,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"No, gracias.",1
