swd;ws;pedFlow;pvQ;pedInfr;Obstr;Pres_pol_c;Crime;Crashes;Lighting;Cs;ptStops;Tcontrl;trFlow;crTime;trDens;insDens;ResDens;Aesthetics;Trees;Block;noise;StagH2o;Slope;AirPol;Cleanless;mpgaDens;design;safety;security;destin;atract;AGE;GENDER;Discapacidad_Motora;Discapacidad_Auditiva;Discapacidad_Visual;Discapacidad_Comunicacion;DISABILITY_split;DISABILITY;INC;NEIGH;NEIGH2;OCCUP;EDUCATION;NWT_WD;DWT_WD;NEIGH_WD;NWT_WE;DWT_WE;NEIGH_WE;Cluster_Jerarquico
0.0000;0.0000;0.5333;0.6500;0.5333;0.4167;0.7667;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.5333;0.0000;0.4400;0.0000;0.3467;0.3933;0.4867;0.0000;0.1400;0.2333;0.1867;0.0933;0.0467;57;1;0;0;0;0;['No presento ninguna dificultad o limitación.'];0;1.0000;;;3;2.0000;2.0000;5.0000;;2.0000;5.0000;;4
0.0000;0.4400;0.0000;0.5100;0.5800;0.3700;0.7667;0.0000;0.0000;0.5333;0.0000;0.0000;1.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.5000;0.0000;0.3333;0.4333;0.4000;0.3667;0.4667;0.7667;0.1400;0.2333;0.1867;0.0933;0.0467;58;0;0;0;0;0;['No presento ninguna dificultad o limitación.'];0;3.0000;;;1;;4.0000;6.0000;;4.0000;6.0000;;4
0.0000;0.0000;0.0000;0.5333;0.4167;0.6500;0.5333;0.0000;0.0000;0.7667;0.0000;0.0000;1.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.5800;0.0000;0.0000;0.0000;0.5100;0.3700;0.4400;0.7667;0.1400;0.2333;0.1867;0.0933;0.0467;50;1;0;0;0;0;['No presento ninguna dificultad o limitación.'];0;1.0000;;;9;;;5.0000;;;5.0000;;4
0.0000;0.4400;0.4167;0.5800;0.5100;0.3700;0.5333;0.0000;0.0000;0.6500;0.5333;0.5333;0.7667;0.0000;0.0000;0.4867;0.4400;0.3933;0.4867;0.5333;0.3467;0.0000;0.3933;0.0000;0.0000;0.4400;0.3467;0.1867;0.1400;0.0467;0.2333;0.0933;33;1;0;0;0;0;['No presento ninguna dificultad o limitación.'];0;5.0000;;2.0000;1;5.0000;;2.0000;;2.0000;5.0000;;2
0.0000;0.5333;0.5333;0.0000;0.6500;0.4167;0.0000;0.0000;0.0000;0.7667;0.5333;0.3467;0.0000;0.4167;0.6500;0.5333;0.4400;0.4867;0.4867;0.5333;0.4400;0.0000;0.0000;0.3467;0.0000;0.3933;0.3933;0.2333;0.0933;0.0467;0.1867;0.1400;53;1;0;0;0;0;['No presento ninguna dificultad o limitación.'];0;;;;1;5.0000;2.0000;2.0000;;4.0000;5.0000;;2
0.0000;0.0000;0.5333;0.6500;0.5333;0.4167;0.0000;0.0000;0.0000;0.7667;0.7667;0.0000;0.5333;0.0000;0.0000;0.5100;0.4400;0.3700;0.4400;0.5333;0.0000;0.3933;0.0000;0.4867;0.0000;0.3467;0.5800;0.2333;0.0467;0.0933;0.1867;0.1400;37;1;0;0;0;0;['No presento ninguna dificultad o limitación.'];0;4.0000;;;1;5.0000;;3.0000;;4.0000;3.0000;;2
0.0000;0.5333;0.0000;0.6500;0.0000;0.4167;0.7667;0.0000;0.6500;0.5333;0.0000;0.6500;0.5333;0.0000;0.4167;0.5333;0.4167;0.0000;0.0000;0.5800;0.0000;0.0000;0.3700;0.4400;0.0000;0.5100;0.0000;0.1867;0.2333;0.1400;0.0933;0.0467;22;1;0;0;0;0;['No presento ninguna dificultad o limitación.'];0;2.0000;;;4;4.0000;4.0000;3.0000;;2.0000;2.0000;;1
0.0000;0.5333;0.0000;0.7667;0.0000;0.0000;0.5333;0.0000;0.0000;0.7667;0.0000;0.7667;0.5333;0.7667;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.0000;0.7667;0.0000;0.2333;0.1400;0.0933;0.0467;0.1867;34;0;0;0;0;0;['No presento ninguna dificultad o limitación.'];0;1.0000;;;5;4.0000;;6.0000;;;6.0000;;2
0.0000;0.0000;0.0000;0.0000;0.7667;0.5333;0.7667;0.5333;0.0000;0.0000;0.7667;0.5333;0.5333;0.0000;0.0000;0.7667;0.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.7667;0.0000;0.0000;0.0000;0.0000;0.1867;0.2333;0.1400;0.0933;0.0467;45;0;0;0;0;0;['No presento ninguna dificultad o limitación.'];0;2.0000;;;1;2.0000;2.0000;4.0000;;2.0000;4.0000;;2
0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.7667;0.0000;0.0000;0.5333;0.0000;0.5333;0.0000;0.0000;0.4167;0.5333;0.0000;0.6500;0.0000;0.0000;0.0000;0.0000;0.7667;0.2333;0.1400;0.0933;0.0467;0.1867;35;0;0;0;0;0;['No presento ninguna dificultad o limitación.'];0;1.0000;;;3;2.0000;2.0000;6.0000;;2.0000;6.0000;;2
0.0000;0.3700;0.5333;0.5100;0.5800;0.4400;0.4167;0.0000;0.0000;0.6500;0.5333;0.4167;0.7667;0.0000;0.0000;0.6500;0.5333;0.0000;0.0000;0.5800;0.0000;0.3700;0.0000;0.5100;0.0000;0.4400;0.0000;0.1867;0.2333;0.1400;0.0467;0.0933;72;1;0;0;0;0;['No presento ninguna dificultad o limitación.'];0;1.0000;;;8;;4.0000;5.0000;;4.0000;5.0000;;2
